"Typ.av.slutligt.beslut","mean","sd","n"
"Beslutad, avskriven (återtagen ansökan)",50.5128205128205,42.0262272715201,39
"Beslutad, avslag",56.3358208955224,41.5029565084841,134
"Beslutad, avvisad (annan orsak)",39.1636363636364,21.6322492763515,55
"Beslutad, avvisad (ingen avgift/underskrift)",61.1304347826087,19.9825022271215,23
"Beslutad, bordlagd",12,NA,1
"Beslutad, delvis godkänd (eller med villkor)",56.1794871794872,31.2451021802844,39
"Beslutad, förnyad prövning",125,NA,1
"Beslutad, godkänd",37.0582873590789,27.3366147816212,4169
"Beslutad, godkänd - stråldos",65.7719298245614,28.8115908867171,57
"Beslutad, godkänd med villkor",46.1168412570508,29.9736182120873,1241
"Beslutad, rådgivande yttrande",41.2673611111111,20.6666265665004,288
"Beslutad, rådgivande yttrande (utan överklagan)",23,NA,1
"Beslutad, överlämnad",51.3333333333333,23.1156512634477,3
